,,,,,,,
index,size(gb),subsize(gb),flyname,type,datasetname,dryad_datasetname,doi
15,102,,21_20022019_SponSleep_LFP,,DrosSponSleep_SciAdvances2023_15,,https://doi.org/10.5061/dryad.pc866t1w5
,,19.21,,lfp,,DrosSponSleep_SciAdvances2023_15_lfp_01,
,,15.24,,lfp,,DrosSponSleep_SciAdvances2023_15_lfp_02,
,,32.02,,video,,DrosSponSleep_SciAdvances2023_15_video_01,
,,41.88,,video,,DrosSponSleep_SciAdvances2023_15_video_02,
,,,,,,,
16,87,,23_13032019_SponSleep_LFP,,DrosSponSleep_SciAdvances2023_16,,https://doi.org/10.5061/dryad.6wwpzgn4z
,,18.25,,lfp,,DrosSponSleep_SciAdvances2023_16_lfp_01,
,,13.56,,lfp,,DrosSponSleep_SciAdvances2023_16_lfp_02,
,,24.79,,video,,DrosSponSleep_SciAdvances2023_16_video_01,
,,35.51,,video,,DrosSponSleep_SciAdvances2023_16_video_02,
